"Problem","ProblemStep","Rule_type","Rule_order"
"1",1,"R1","1"
"1",2,"R2","1"
"1",3,"R3","1"
"2",1,"R4","1"
"2",2,"R4","2"
"2",3,"R5","1"
"3",1,"R4","3"
"3",2,"R4","4"
"3",3,"R5","2"
"4",1,"R4","5"
"4",2,"R4","6"
"4",3,"R5","3"
"5",1,"R4","7"
"5",2,"R4","8"
"5",3,"R5","4"
"6",1,"R3","2"
"6",2,"R6","1"
"6",3,"R7","1"
"7",1,"R3","3"
"7",2,"R6","2"
"7",3,"R7","2"
"8",1,"R3","4"
"8",2,"R6","3"
"8",3,"R7","3"
"9",1,"R3","5"
"9",2,"R6","4"
"9",3,"R6","5"
"9",4,"R7","4"
