"Problem","ProblemStep","Rule_type","Rule_order"
1,0,NA,NA
1,1,"R1",1
1,2,"R2",1
1,3,"R3",1
2,0,NA,NA
2,1,"R1",2
2,2,"R2",2
2,3,"R3",2
3,0,NA,NA
3,1,"R1",3
3,2,"R2",3
3,3,"R3",3
4,0,NA,NA
4,1,"R4",1
4,2,"R4",2
4,3,"R5",1
5,0,NA,NA
5,1,"R4",3
5,2,"R4",4
5,3,"R5",2
6,0,NA,NA
6,1,"R4",5
6,2,"R4",6
6,3,"R5",3
7,0,NA,NA
7,1,"R3",4
7,2,"R6",1
7,3,"R7",1
8,0,NA,NA
8,1,"R3",5
8,2,"R6",2
8,3,"R7",2
9,0,NA,NA
9,1,"R3",6
9,2,"R6",3
9,3,"R6",4
9,4,"R7",3
